clusters_id,clusters_latitude,clusters_longitude,vin
6,22.17422165210527,113.50143745263155,LBEDMBKD7GZ209336
7,22.269788956666662,113.56091038333334,LBEDMBKD7GZ209336
8,22.20686330166667,113.52733811666667,LBEDMBKD7GZ209336
9,22.150112054,113.47901892,LBEDMBKD7GZ209336
10,22.224642590000002,113.51101893333335,LBEDMBKD7GZ209336
11,22.21127838833333,113.52539615,LBEDMBKD7GZ209336
12,22.171055303333333,113.46388597777778,LBEDMBKD7GZ209336
13,22.246412766363637,113.57384692727273,LBEDMBKD7GZ209336
14,22.222638557777778,113.53675374444444,LBEDMBKD7GZ209336
15,22.21523055,113.55041582857145,LBEDMBKD7GZ209336
16,22.217566745,113.53764228333334,LBEDMBKD7GZ209336
0,39.31328255571428,115.88273960000001,LBEDMBKD0GZ205127
1,39.32331992038712,115.86131799161286,LBEDMBKD0GZ205127
2,39.31802766379999,115.89081742200001,LBEDMBKD0GZ205127
3,39.31841326555556,115.87490851111112,LBEDMBKD0GZ205127
4,39.3448903092,115.904194056,LBEDMBKD0GZ205127
5,39.13342299400001,116.03517378499998,LBEDMBKD0GZ205127
6,39.3261588575,115.86666313750001,LBEDMBKD0GZ205127
7,39.317128249999996,115.88519032857143,LBEDMBKD0GZ205127
8,39.319873185999995,115.86459538000001,LBEDMBKD0GZ205127
9,39.32673680222222,115.8629734,LBEDMBKD0GZ205127
10,39.33549901136363,115.8611524818182,LBEDMBKD0GZ205127
11,39.343696755,115.87955320000002,LBEDMBKD0GZ205127
12,39.33711732857142,115.86790381428571,LBEDMBKD0GZ205127
13,39.31825948263158,115.87142951578947,LBEDMBKD0GZ205127
14,39.31422661142857,115.88495969999998,LBEDMBKD0GZ205127
15,39.333321646250006,115.87455742500002,LBEDMBKD0GZ205127
16,39.32897885642858,115.87252305714286,LBEDMBKD0GZ205127
17,39.13028597789473,116.04232074736841,LBEDMBKD0GZ205127
18,39.314134528,115.86781423,LBEDMBKD0GZ205127
19,39.32918067333333,115.88493056666668,LBEDMBKD0GZ205127
20,39.35106592166667,115.84735336666665,LBEDMBKD0GZ205127
21,39.33291091833333,115.86872648333333,LBEDMBKD0GZ205127
22,39.32080336,115.90458220666667,LBEDMBKD0GZ205127
23,39.333005639999996,115.88465515384613,LBEDMBKD0GZ205127
24,39.35775974285714,115.9358019,LBEDMBKD0GZ205127
25,39.33253568000001,115.87994166666668,LBEDMBKD0GZ205127
26,39.32391614000001,115.85899741111113,LBEDMBKD0GZ205127
27,39.326451046,115.88245442,LBEDMBKD0GZ205127
28,39.33351147916667,115.86507759999999,LBEDMBKD0GZ205127
29,39.320311617142856,115.87617974285713,LBEDMBKD0GZ205127
30,39.323543652,115.87490052000001,LBEDMBKD0GZ205127
31,39.31767701,115.89515191999999,LBEDMBKD0GZ205127
32,39.313336119,115.88995048,LBEDMBKD0GZ205127
33,39.3350401175,115.8590858,LBEDMBKD0GZ205127
34,39.343984902,115.8766611,LBEDMBKD0GZ205127
35,39.326364807999994,115.904458,LBEDMBKD0GZ205127
0,40.31508174986207,116.63729226413794,LBEDMBKD1HZ211133
1,40.337280475333344,116.63329151333333,LBEDMBKD1HZ211133
2,40.315866538829795,116.64108358829779,LBEDMBKD1HZ211133
3,40.366986398974355,116.68859768461542,LBEDMBKD1HZ211133
4,40.3473722475,116.70673082500001,LBEDMBKD1HZ211133
5,40.671607345,116.69576606153848,LBEDMBKD1HZ211133
6,40.321616299333336,116.63455508666667,LBEDMBKD1HZ211133
7,40.31382945923077,116.64561756153847,LBEDMBKD1HZ211133
8,40.33623610666667,116.642682375,LBEDMBKD1HZ211133
9,40.308924233333336,116.6372511,LBEDMBKD1HZ211133
10,40.30323819,116.64261213571426,LBEDMBKD1HZ211133
11,40.322879604444445,116.63734021111112,LBEDMBKD1HZ211133
12,40.303591905999994,116.64576522,LBEDMBKD1HZ211133
13,40.322827492,116.63090408000001,LBEDMBKD1HZ211133
14,40.316216624,116.65987946,LBEDMBKD1HZ211133
15,40.32751891400001,116.64724129999999,LBEDMBKD1HZ211133
0,39.3491846765,117.80450975499998,LBEDMBKD5GZ204460
1,39.32206970388889,117.82830311111115,LBEDMBKD5GZ204460
2,18.253144654,109.50169974,LBEDMBKD5GZ204460
3,18.268129201714284,109.5322951085714,LBEDMBKD5GZ204460
4,18.274875423076924,109.55988221923081,LBEDMBKD5GZ204460
